subject	label	region	voxel_count	volume_mm3	is_reference_label	raw_pet_mean	raw_suvr_mean	gm50_voxel_count	pvc_psf4_mean	suvr_psf4_mean	pvc_psf5_mean	suvr_psf5_mean	pvc_psf6_mean	suvr_psf6_mean	pvc_psf8_mean	suvr_psf8_mean	primary_gray_roi	flag_low_gm_support	flag_negative_nominal_mean	flag_nonfinite_nominal_mean
sub-01	10	lh-Thalamus-Proper	349	7661.247608589177	0	18102.98828125	0.991602063179016	150	21118.1875	1.0897650718688965	21552.583984375	1.0962923765182495	22006.59375	1.1016007661819458	23021.599609375	1.1117461919784546	1	0	0	0
sub-01	11	lh-Caudate	168	3687.935811584475	0	15061.7080078125	0.8250139951705933	123	16376.5390625	0.8450809121131897	16422.171875	0.8353292942047119	16521.3828125	0.8270232081413269	16887.462890625	0.8155197501182556	1	0	0	0
sub-01	12	lh-Putamen	277	6080.703689338688	0	20611.173828125	1.128989577293396	183	25162.86328125	1.29848313331604	25631.31640625	1.3037612438201904	26064.78125	1.3047443628311155	26822.876953125	1.295315146446228	1	0	0	0
sub-01	13	lh-Pallidum	80	1756.1599102783214	0	13933.197265625	0.7631993293762207	1	19567.625	1.0097510814666748	19669.791015625	1.000522494316101	19734.173828125	0.9878484010696412	19775.091796875	0.9549675583839417	1	1	0	0
sub-01	17	lh-Hippocampus	204	4478.20777120972	0	14116.04296875	0.7732147574424744	161	14580.2939453125	0.7523890733718872	14624.392578125	0.743883490562439	14685.5439453125	0.7351253628730774	14839.705078125	0.7166306972503662	1	0	0	0
sub-01	18	lh-Amygdala	73	1602.4959181289682	0	13452.9775390625	0.7368950247764587	67	13560.984375	0.6997894644737244	13577.908203125	0.6906530857086182	13601.2587890625	0.6808484196662903	13664.1904296875	0.659863293170929	1	0	0	0
sub-01	26	lh-Accumbens-area	30	658.5599663543705	0	17961.6640625	0.9838610291481018	26	19589.74609375	1.010892629623413	19821.7578125	1.0082523822784424	20072.234375	1.0047709941864014	20613.83203125	0.9954715967178344	1	0	0	0
sub-01	28	lh-VentralDC	191	4192.831785789493	0	13715.30078125	0.7512639760971069	32	13931.138671875	0.7188906073570251	13921.1708984375	0.7081134915351868	13912.673828125	0.6964371800422668	13950.4765625	0.673688530921936	1	0	0	0
sub-01	49	rh-Thalamus-Proper	356	7814.91160073853	0	17775.72265625	0.9736760258674622	164	20442.783203125	1.0549120903015137	20810.103515625	1.0585254430770874	21225.9765625	1.062524676322937	22198.716796875	1.0720078945159912	1	0	0	0
sub-01	50	rh-Caudate	174	3819.647804855349	0	16055.744140625	0.8794631361961365	119	19060.361328125	0.983574628829956	19397.814453125	0.986688196659088	19797.771484375	0.9910318851470948	20757.49609375	1.0024093389511108	1	0	0	0
